run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K,adversary_strategy,adversary_node_count,byzantine_fraction,view_change_count,clipped_fraction,run_horizon_s,safety_violation,conflicting_instances,max_slashable_stake_fraction
pbft-n25,pbft,25,6,poisson,512,0.0,100.0,c18587d2,150.0,1030.000000000,1040.000000000,24.833333,100.080000,49.920000,49.920000,51552.000000,1.000000,0.000000,nan,nan,nan,nan,nan,none,0,0.000000,0,0.013245,230.000,0,0,0.000000
pbft-n25,pbft,25,7,poisson,512,0.0,100.0,c18587d2,150.0,1030.000000000,1040.000000000,24.833333,99.146667,49.920000,49.920000,51552.000000,1.000000,0.000000,nan,nan,nan,nan,nan,none,0,0.000000,0,0.013245,230.000,0,0,0.000000
pbft-n25,pbft,25,8,poisson,512,0.0,100.0,c18587d2,150.0,1030.000000000,1040.000000000,24.833333,99.073333,49.920000,49.920000,51552.000000,1.000000,0.000000,nan,nan,nan,nan,nan,none,0,0.000000,0,0.013245,230.000,0,0,0.000000
pbft-n25,pbft,25,9,poisson,512,0.0,100.0,c18587d2,150.0,1030.000000000,1040.000000000,24.833333,98.913333,49.920000,49.920000,51552.000000,1.000000,0.000000,nan,nan,nan,nan,nan,none,0,0.000000,0,0.013245,230.000,0,0,0.000000
pbft-n25,pbft,25,10,poisson,512,0.0,100.0,c18587d2,150.0,1030.000000000,1040.000000000,24.833333,101.653333,49.920000,49.920000,51552.000000,1.000000,0.000000,nan,nan,nan,nan,nan,none,0,0.000000,0,0.013245,230.000,0,0,0.000000
pbft-n25,pbft,25,11,poisson,512,0.0,100.0,c18587d2,150.0,1030.000000000,1040.000000000,24.833333,98.986667,49.920000,49.920000,51552.000000,1.000000,0.000000,nan,nan,nan,nan,nan,none,0,0.000000,0,0.013245,230.000,0,0,0.000000
pbft-n25,pbft,25,12,poisson,512,0.0,100.0,c18587d2,150.0,1030.000000000,1040.000000000,24.833333,100.246667,49.920000,49.920000,51552.000000,1.000000,0.000000,nan,nan,nan,nan,nan,none,0,0.000000,0,0.013245,230.000,0,0,0.000000
pbft-n25,pbft,25,13,poisson,512,0.0,100.0,c18587d2,150.0,1030.000000000,1040.000000000,24.833333,99.300000,49.920000,49.920000,51552.000000,1.000000,0.000000,nan,nan,nan,nan,nan,none,0,0.000000,0,0.013245,230.000,0,0,0.000000
pbft-n25,pbft,25,14,poisson,512,0.0,100.0,c18587d2,150.0,1030.000000000,1040.000000000,24.833333,98.320000,49.920000,49.920000,51552.000000,1.000000,0.000000,nan,nan,nan,nan,nan,none,0,0.000000,0,0.013245,230.000,0,0,0.000000
pbft-n25,pbft,25,15,poisson,512,0.0,100.0,c18587d2,150.0,1030.000000000,1040.000000000,24.833333,99.286667,49.920000,49.920000,51552.000000,1.000000,0.000000,nan,nan,nan,nan,nan,none,0,0.000000,0,0.013245,230.000,0,0,0.000000
